Name
ASPClassic
aspq-Integrated-4.0
aspq-ISAPI-4.0_32bit
aspq-ISAPI-4.0_64bit
AssemblyResourceLoader-Integrated-4.0
AXD-ISAPI-2.0
AXD-ISAPI-2.0-64
AXD-ISAPI-4.0_32bit
AXD-ISAPI-4.0_64bit
CGI-exe
cshtm-Integrated-4.0
cshtm-ISAPI-4.0_32bit
cshtm-ISAPI-4.0_64bit
cshtml-Integrated-4.0
cshtml-ISAPI-4.0_32bit
cshtml-ISAPI-4.0_64bit
ExtensionlessUrlHandler-Integrated-4.0
ExtensionlessUrlHandler-ISAPI-4.0_32bit
ExtensionlessUrlHandler-ISAPI-4.0_64bit
HttpRemotingHandlerFactory-rem-Integrated-4.0
HttpRemotingHandlerFactory-rem-ISAPI-2.0
HttpRemotingHandlerFactory-rem-ISAPI-2.0-64
HttpRemotingHandlerFactory-rem-ISAPI-4.0_32bit
HttpRemotingHandlerFactory-rem-ISAPI-4.0_64bit
HttpRemotingHandlerFactory-soap-Integrated-4.0
HttpRemotingHandlerFactory-soap-ISAPI-2.0
HttpRemotingHandlerFactory-soap-ISAPI-2.0-64
HttpRemotingHandlerFactory-soap-ISAPI-4.0_32bit
HttpRemotingHandlerFactory-soap-ISAPI-4.0_64bit
PageHandlerFactory-Integrated-4.0
PageHandlerFactory-ISAPI-2.0
PageHandlerFactory-ISAPI-2.0-64
PageHandlerFactory-ISAPI-4.0_32bit
PageHandlerFactory-ISAPI-4.0_64bit
rules-64-ISAPI-2.0
rules-Integrated
rules-Integrated-4.0
rules-ISAPI-2.0
rules-ISAPI-4.0_32bit
rules-ISAPI-4.0_64bit
ScriptHandlerFactoryAppServices-Integrated-4.0
ScriptResourceIntegrated-4.0
SimpleHandlerFactory-Integrated-4.0
SimpleHandlerFactory-ISAPI-2.0
SimpleHandlerFactory-ISAPI-2.0-64
SimpleHandlerFactory-ISAPI-4.0_32bit
SimpleHandlerFactory-ISAPI-4.0_64bit
SSINC-shtm
SSINC-shtml
SSINC-stm
svc-Integrated-4.0
svc-ISAPI-2.0
svc-ISAPI-2.0-64
svc-ISAPI-4.0_32bit
svc-ISAPI-4.0_64bit
TraceHandler-Integrated-4.0
vbhtm-Integrated-4.0
vbhtm-ISAPI-4.0_32bit
vbhtm-ISAPI-4.0_64bit
vbhtml-Integrated-4.0
vbhtml-ISAPI-4.0_32bit
vbhtml-ISAPI-4.0_64bit
WebAdminHandlerFactory-Integrated-4.0
WebServiceHandlerFactory-Integrated-4.0
WebServiceHandlerFactory-ISAPI-2.0
WebServiceHandlerFactory-ISAPI-2.0-64
WebServiceHandlerFactory-ISAPI-4.0_32bit
WebServiceHandlerFactory-ISAPI-4.0_64bit
xamlx-Integrated-4.0
xamlx-ISAPI-4.0_32bit
xamlx-ISAPI-4.0_64bit
xoml-64-ISAPI-2.0
xoml-Integrated-4.0
xoml-ISAPI-2.0
xoml-ISAPI-4.0_32bit
xoml-ISAPI-4.0_64bit
